Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2025-07-30,2025,Salad Mix,Lettuce Mini Gem,15,1.6,,,1.1,2025-07-29,,crop
2025-07-30,2025,Salad Mix,Radicchio Round,20,2.1,,,1.1,2025-07-29,,crop
2025-07-30,2025,Salad Mix,Radicchio Variegated,20,2.1,,,1.1,2025-07-29,,crop
2025-08-02,2025,Salad Mix,Lettuce Mix SN,47,16.6,,,1.1,2025-07-31,,crop
2025-08-02,2025,Salad Mix,Lettuce Mini Gem,17,6,,,1.1,2025-07-31,,crop
2025-08-02,2025,Salad Mix,Radicchio Round,18,6.3,,,1.1,2025-07-31,,crop
2025-08-02,2025,Salad Mix,Radicchio Variegated,18,6.3,,,1.1,2025-07-31,,crop
2025-08-09,2025,Salad Mix,Lettuce Mix SN,45,16.9,,,1.1,2025-08-07,,crop
2025-08-09,2025,Salad Mix,Lettuce Mini Gem,15,5.6,,,1.1,2025-08-07,,crop
2025-08-09,2025,Salad Mix,Radicchio Round,20,7.5,,,1.1,2025-08-07,,crop
2025-08-09,2025,Salad Mix,Radicchio Variegated,20,7.5,,,1.1,2025-08-07,,crop
2025-08-16,2025,Salad Mix,Lettuce Mix SN,45,22,,,1.1,2025-08-14,,crop
2025-08-16,2025,Salad Mix,Lettuce Mini Gem,15,7.3,,,1.1,2025-08-14,,crop
2025-08-16,2025,Salad Mix,Radicchio Round,20,9.8,,,1.1,2025-08-14,,crop
2025-08-16,2025,Salad Mix,Radicchio Variegated,20,9.8,,,1.1,2025-08-14,,crop
2025-08-30,2025,Salad Mix,Lettuce Mix SN,50,13.4,,,1.1,2025-08-28,,crop
2025-08-30,2025,Salad Mix,Greens Mix Amaranth,10,2.7,,,1.1,2025-08-28,,crop
2025-08-30,2025,Salad Mix,Radicchio Variegated,40,10.7,,,1.1,2025-08-28,,crop
2025-09-10,2025,Salad Mix,Lettuce Mix SN,25,2.9,,,1.1,2025-09-09,,crop
2025-09-10,2025,Salad Mix,Lettuce Mini Gem,25,2.9,,,1.1,2025-09-09,,crop
2025-09-10,2025,Salad Mix,Greens Mix Cheap Frills,25,2.9,,,1.1,2025-09-09,,crop
2025-09-10,2025,Salad Mix,Frisee,25,2.9,,,1.1,2025-09-09,,crop
2025-09-13,2025,Salad Mix,Lettuce Mix SN,35,32.6,,,1.1,2025-09-11,,crop
2025-09-13,2025,Salad Mix,Lettuce Mini Gem,15,14,,,1.1,2025-09-11,,crop
2025-09-13,2025,Salad Mix,Greens Mix Cheap Frills,25,23.3,,,1.1,2025-09-11,,crop
2025-09-13,2025,Salad Mix,Frisee,25,23.3,,,1.1,2025-09-11,,crop
2025-09-17,2025,Salad Mix,Lettuce Mix SN,20,2.9,,,1.1,2025-09-16,,crop
2025-09-17,2025,Salad Mix,Lettuce Mini Gem,20,2.9,,,1.1,2025-09-16,,crop
2025-09-17,2025,Salad Mix,Greens Mix Cheap Frills,20,2.9,,,1.1,2025-09-16,,crop
2025-09-17,2025,Salad Mix,Frisee,20,2.9,,,1.1,2025-09-16,,crop
2025-09-17,2025,Salad Mix,Radicchio Variegated,20,2.9,,,1.1,2025-09-16,,crop
2025-09-20,2025,Salad Mix,Lettuce Mix SN,22,22.7,,,1.1,2025-09-18,,crop
2025-09-20,2025,Salad Mix,Lettuce Mini Gem,10,10.3,,,1.1,2025-09-18,,crop
2025-09-20,2025,Salad Mix,Greens Mix Cheap Frills,25,25.8,,,1.1,2025-09-18,,crop
2025-09-20,2025,Salad Mix,Frisee,18,18.6,,,1.1,2025-09-18,,crop
2025-09-20,2025,Salad Mix,Radicchio Variegated,20,20.6,,,1.1,2025-09-18,,crop
2025-09-20,2025,Salad Mix,Greens Mix Rosie,2.5,2.6,,,1.1,2025-09-18,,crop
2025-09-20,2025,Salad Mix,Greens Mix Baby Kale,2.5,2.6,,,1.1,2025-09-18,,crop
2025-09-24,2025,Salad Mix,Lettuce Mix SN,20,2.4,,,1.1,2025-09-23,,crop
2025-09-24,2025,Salad Mix,Lettuce Mini Gem,15,1.8,,,1.1,2025-09-23,,crop
2025-09-24,2025,Salad Mix,Greens Mix Cheap Frills,15,1.8,,,1.1,2025-09-23,,crop
2025-09-24,2025,Salad Mix,Frisee,20,2.4,,,1.1,2025-09-23,,crop
2025-09-24,2025,Salad Mix,Radicchio Variegated,20,2.4,,,1.1,2025-09-23,,crop
2025-09-24,2025,Salad Mix,Greens Mix Rosie,5,0.6,,,1.1,2025-09-23,,crop
2025-09-24,2025,Salad Mix,Greens Mix Baby Kale,5,0.6,,,1.1,2025-09-23,,crop
2025-09-27,2025,Salad Mix,Lettuce Mix SN,23,21.9,,,1.1,2025-09-25,,crop
2025-09-27,2025,Salad Mix,Lettuce Mini Gem,10,9.5,,,1.1,2025-09-25,,crop
2025-09-27,2025,Salad Mix,Greens Mix Cheap Frills,22,20.9,,,1.1,2025-09-25,,crop
2025-09-27,2025,Salad Mix,Frisee,20,19,,,1.1,2025-09-25,,crop
2025-09-27,2025,Salad Mix,Radicchio Variegated,20,19,,,1.1,2025-09-25,,crop
2025-09-27,2025,Salad Mix,Greens Mix Rosie,3,2.9,,,1.1,2025-09-25,,crop
2025-09-27,2025,Salad Mix,Greens Mix Baby Kale,2,1.9,,,1.1,2025-09-25,,crop
2025-10-01,2025,Salad Mix,Lettuce Mix SN,25,3.4,,,1.1,2025-09-30,,crop
2025-10-01,2025,Salad Mix,Lettuce Mini Gem,5,0.7,,,1.1,2025-09-30,,crop
2025-10-01,2025,Salad Mix,Greens Mix Cheap Frills,20,2.7,,,1.1,2025-09-30,,crop
2025-10-01,2025,Salad Mix,Frisee,20,2.7,,,1.1,2025-09-30,,crop
2025-10-01,2025,Salad Mix,Radicchio Variegated,12,1.6,,,1.1,2025-09-30,,crop
2025-10-01,2025,Salad Mix,Radicchio Round,13,1.8,,,1.1,2025-09-30,,crop
2025-10-01,2025,Salad Mix,Greens Mix Baby Kale,5,0.7,,,1.1,2025-09-30,,crop
2025-10-04,2025,Salad Mix,Lettuce Mix SN,34,30.5,,,1.1,2025-10-02,,crop
2025-10-04,2025,Salad Mix,Lettuce Mini Gem,1,0.9,,,1.1,2025-10-02,,crop
2025-10-04,2025,Salad Mix,Greens Mix Cheap Frills,15,13.5,,,1.1,2025-10-02,,crop
2025-10-04,2025,Salad Mix,Frisee,22,19.8,,,1.1,2025-10-02,,crop
2025-10-04,2025,Salad Mix,Radicchio Variegated,10,9,,,1.1,2025-10-02,,crop
2025-10-04,2025,Salad Mix,Radicchio Round,13,11.7,,,1.1,2025-10-02,,crop
2025-10-04,2025,Salad Mix,Greens Mix Baby Kale,5,4.5,,,1.1,2025-10-02,,crop
2025-10-11,2025,Salad Mix,Lettuce Mix SN,42,38.2,,,1.1,2025-10-09,,crop
2025-10-11,2025,Salad Mix,Greens Mix Cheap Frills,10,9.1,,,1.1,2025-10-09,,crop
2025-10-11,2025,Salad Mix,Frisee,20,18.2,,,1.1,2025-10-09,,crop
2025-10-11,2025,Salad Mix,Radicchio Round,10,9.1,,,1.1,2025-10-09,,crop
2025-10-11,2025,Salad Mix,Radicchio Variegated,11,10,,,1.1,2025-10-09,,crop
2025-10-11,2025,Salad Mix,Greens Mix Baby Kale,4,3.6,,,1.1,2025-10-09,,crop
2025-10-11,2025,Salad Mix,Greens Mix Rosie,3,2.7,,,1.1,2025-10-09,,crop
2025-10-08,2025,Salad Mix,Lettuce Mix SN,40,4.8,,,1.1,2025-10-07,,crop
2025-10-08,2025,Salad Mix,Greens Mix Cheap Frills,10,1.2,,,1.1,2025-10-07,,crop
2025-10-08,2025,Salad Mix,Frisee,20,2.4,,,1.1,2025-10-07,,crop
2025-10-08,2025,Salad Mix,Radicchio Round,15,1.8,,,1.1,2025-10-07,,crop
2025-10-08,2025,Salad Mix,Radicchio Variegated,15,1.8,,,1.1,2025-10-07,,crop
2025-10-18,2025,Braising Mix,Chard,15,12.4,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Brussels Sprouts,15,12.4,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Escarole,15,12.4,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Kale Lacinato,8,6.6,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Kale Curly,8,6.6,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Collards,8,6.6,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Cabbage Chinese Red,15,12.4,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Radicchio Treviso,10,8.3,,,1.1,2025-10-16,,crop
2025-10-18,2025,Braising Mix,Radicchio Pink,6,5,,,1.1,2025-10-16,,crop
2025-10-18,2025,Salad Mix,Greens Mix Cheap Frills,1,0.7,,,1.1,2025-10-16,,crop
2025-10-18,2025,Salad Mix,Greens Mix Baby Kale,1,0.7,,,1.1,2025-10-16,,crop
